position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
ESPECIALISTA EN LOGÍSTICA,UNIDAD EJECUTORA 313 UNIDAD DE GESTION EDUCATIVA LOCAL CASTROVIRREYNA,HUANCAVELICA - CASTROVIRREYNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 3,014.19",15/10/2024,28/10/2024,29898c9d-cd25-4df5-a5f5-d259ee11824c
ADMINISTRADOR DE CENTRO DE PRODUCCIÓN I,GOBIERNO REGIONAL HVCA-AGRICULTURA,HUANCAVELICA - MOYA,276-7,1,"S/. 1,005.00",14/10/2024,25/10/2024,c966fa10-1798-4845-a4b8-a0c83cf56a52
ASISTENTE ADMINISTRATIVO I,GOBIERNO REGIONAL HVCA-AGRICULTURA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-6,1,"S/. 1,800.00",14/10/2024,25/10/2024,934ffd0e-3842-4233-a803-da0be7517fcc
INGENIERO EN CIENCIAS AGROPECUARIAS   II,GOBIERNO REGIONAL HVCA-AGRICULTURA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-6,1,"S/. 2,500.00",14/10/2024,25/10/2024,f38f5832-00fc-4253-aa66-84064c24f906
INGENIERO ESPECIALISTA,GOBIERNO REGIONAL HVCA-AGRICULTURA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-6,1,"S/. 2,500.00",14/10/2024,25/10/2024,6d8ddce5-3635-4bb4-9395-9de3071ab54e
ABOGADO I,GOBIERNO REGIONAL HVCA-AGRICULTURA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,500.00",14/10/2024,25/10/2024,85fbd7ac-6533-49eb-b8e5-d416e2b7c322
ADMINISTRADOR DE CENTRO DE PRODUCCIÓN II,GOBIERNO REGIONAL HVCA-AGRICULTURA,HUANCAVELICA - HUANCAVELICA,276-7,1,"S/. 1,032.00",14/10/2024,25/10/2024,ecc6f8e5-1820-4832-ba83-1596f8a2599f
INGENIERO EN CIENCIAS AGROPECUARIAS II (SUPLENCIA),GOBIERNO REGIONAL HVCA-AGRICULTURA,HUANCAVELICA - HUANCAVELICA,276-7,1,S/. 931.00,14/10/2024,25/10/2024,cf454ea4-e9be-42d4-bf91-36d057fbeb7b
PLANIFICADOR I (SUPLENCIA),GOBIERNO REGIONAL HVCA-AGRICULTURA,HUANCAVELICA - HUANCAVELICA,276-7,1,S/. 903.00,14/10/2024,25/10/2024,69b3d5d1-03c6-4299-b628-7d249ae8718f
OPERADOR PAD,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - SAN PEDRO DE CORIS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-24,1,"S/. 1,614.19",14/10/2024,25/10/2024,26456d7d-f9a9-48c2-98e7-39eba9c5e168
MEDICO CIRUJANO,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - PAUCARBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-25,1,"S/. 5,314.19",14/10/2024,25/10/2024,c4f59bda-17ff-417b-b4f4-59a360a65a5c
ENFERMERO/A,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - ANCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-25,1,"S/. 3,014.19",14/10/2024,25/10/2024,01c63bf9-90af-48bb-894e-db11c5e363a8
ENFERMERO/A,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-24,1,"S/. 3,014.19",14/10/2024,25/10/2024,a714f79e-d3fa-4f4e-bb14-6f8f172f0488
QUIMICO FARMACEUTICO,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-24,1,"S/. 2,614.19",14/10/2024,25/10/2024,4f3b46e9-3097-439b-bc46-7a6fb9bd1146
ENFERMERO/A,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-25,1,"S/. 3,014.19",14/10/2024,25/10/2024,15153e4b-1b46-4ee4-a6b0-7e766318b691
MEDICO CIRUJANO,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-25,1,"S/. 5,314.19",14/10/2024,25/10/2024,56cdeade-9921-4ec9-9f5d-933ad44bd488
TECNICO EN LABORATORIO,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - COSME,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-25,1,"S/. 1,914.19",14/10/2024,25/10/2024,f1d951a0-2959-495c-89c3-8ba85698213d
NUTRICIONISTA,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-25,1,"S/. 2,414.19",14/10/2024,25/10/2024,ed34e16e-3ba5-49bc-acda-d9855282426a
ESPECIALISTA EN REMUNERACIONES Y PENSIONES,GERENCIA SUB REGIONAL CASTROVIRREYNA,HUANCAVELICA - CASTROVIRREYNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,514.19",14/10/2024,25/10/2024,320fbaf2-fe45-4a8c-af7a-418b5df79494
SECRETARIA TECNICA PAD,GERENCIA SUB REGIONAL CASTROVIRREYNA,HUANCAVELICA - CASTROVIRREYNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 3,600.00",14/10/2024,25/10/2024,577e2f29-3ec8-4b75-a33b-5d6d108be438
ESPECIALISTA ADMINISTRATIVO,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-23,1,"S/. 2,114.19",11/10/2024,24/10/2024,77e10176-c504-4257-ba22-ecfbf98d6c3b
SUPERVISOR DE CONSERVACION Y SERVICIOS II,UNIDAD DE GESTION EDUCATIVA LOCAL HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-10,1,S/. 965.67,11/10/2024,24/10/2024,6c5d2b6e-0035-4f11-8471-2077da33dd93
DEFENSOR PÚBLICO EN EL NUEVO CÓDIGO PROCESAL PENAL,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-888,1,"S/. 5,114.19",11/10/2024,24/10/2024,8542e40b-ee6e-43f4-8c16-d8b89f416aa5
TÉCNICA EN ENFERMERÍA,GERENCIA SUB REGIONAL HUAYTARA,HUANCAVELICA - HUAYTARA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-9,1,"S/. 1,800.00",10/10/2024,23/10/2024,4339bdf9-0fd7-48c4-a0c0-6bb0ba5b2bb3
ESPECIALISTA EN SIAF SIGA - LOGISTICA,MUNICIPALIDAD PROVINCIAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 1,700.00",07/10/2024,21/10/2024,503ec8b9-1240-4a54-8e48-f742204def93
CIRUJANO DENTISTA,UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - ACOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,300.00",07/10/2024,21/10/2024,e088c44a-f881-4fb4-9e6a-3868187cdfc1
RESPONSABLE DE CONTABILIDAD,MUNICIPALIDAD PROVINCIAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 2,800.00",07/10/2024,21/10/2024,e49ec324-69ac-452f-9928-c9f11b88e4b3
MEDICO CIRUJANO,UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - PAUCARA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 5,200.00",07/10/2024,21/10/2024,913da077-cb26-45a6-bf0f-843462488ef8
TECNICO EN LABORATORIO,UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - PAUCARA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 1,800.00",07/10/2024,21/10/2024,87773c1c-a6f2-4954-8bfa-9614ff013dcd
ENFERMERA/O,UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - MARCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,300.00",07/10/2024,21/10/2024,6666c75b-4cee-4a17-848b-c03662a3d1f9
ENFERMERA/O,UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - PAUCARA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,900.00",07/10/2024,21/10/2024,f494bff2-16d4-4934-9252-da343e6fc6dd
ASISTENTE ADMINISTRATIVO,MINISTERIO PUBLICO-GERENCIA GENERAL,APURIMAC - COTABAMBAS,728-8,1,"S/. 3,901.11",18/10/2024,31/10/2024,d675c569-e3bd-4327-a96f-cc30575e3b36
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,APURIMAC - CHALHUANCA,728-8,1,"S/. 4,672.11",18/10/2024,31/10/2024,65bd7b93-6475-491f-bc1d-7e5a327212c9
ESPECIALISTA ADMINISTRATIVO EN ABASTECIMIENTOS,UNIDAD DE GESTION EDUCATIVA DE ANDAHUAYLAS,APURIMAC - ANDAHUAYLAS,276-003,1,"S/. 1,180.00",18/10/2024,31/10/2024,68276057-6565-40de-b089-0530d7e2d2b4
OPERADOR PAD,UNIDAD DE GESTION EDUCATIVA DE ANDAHUAYLAS,APURIMAC - ANDAHUAYLAS,276-002,1,S/. 801.50,18/10/2024,31/10/2024,abb1b582-9911-4c3d-8f8a-b6c2dd91b904
GESTOR LOCAL PARA LA UNIDAD TERRITORIAL APURIMAC,PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,000.00",18/10/2024,31/10/2024,464d5be7-b516-423f-8057-f161e328dd16
PERSONAL DE VIGILANCIA,DIREC. REGIONAL DE EDUCACION DE APURIMAC,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-15,24,"S/. 1,265.00",18/10/2024,31/10/2024,aed57de5-dcbc-479e-b560-9910537fabca
PSICOLOGO,DIRECCION REGIONAL DE SALUD APURIMAC,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 2,920.00",17/10/2024,30/10/2024,257461ce-8006-4940-bd43-903b9d5009ae
PROFESIONAL NUTRICIONISTA,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 6,493.00",16/10/2024,29/10/2024,eda52982-3a47-4de6-a69c-638069e839a0
MEDICO FAMILIAR,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 8,334.00",16/10/2024,29/10/2024,2b380f07-826e-4218-8b98-2ffd2c99c250
TEC. EN ENFERMERIA,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,3,"S/. 3,165.00",16/10/2024,29/10/2024,4c0afffb-44a4-41c0-b026-554ef4b26190
TECNICO ASISTENCIAL DE LA SALUD-SERVICIO DE LABORATORIO,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,506.00",16/10/2024,29/10/2024,73888ef9-3dbd-4e29-89cc-d55d71e40763
TECNICO EN ENFERMERIA/(CAJA/ADMISION),RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,3,"S/. 3,506.00",16/10/2024,29/10/2024,d848fda8-40d4-4539-96d5-7395940035ca
TECNICO EN FARMACIA,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,2,"S/. 3,506.00",16/10/2024,29/10/2024,805e55f3-8554-418f-9dda-d9e22aa966ea
TECNICO INFORMATICO,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,000.00",16/10/2024,29/10/2024,99302168-5124-497c-8822-3ece61e8a307
TECNICO INFORMATICO (DIGITACIÓN),RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,165.00",16/10/2024,29/10/2024,311e2599-3f40-4bec-9022-b7406050f013
TÉCNICO SANITARIO I,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,000.00",16/10/2024,29/10/2024,31b27e51-b3d8-4905-a406-218d355ab1a8
PILOTO DE AMBULANCIA,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,165.00",16/10/2024,29/10/2024,8cd8c5f0-87df-4626-8267-ee0de9a7923c
LICENCIADO(A) EN ENFERMERIA - REFERENCIAS,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 6,030.00",16/10/2024,29/10/2024,187cd2dc-52bc-4c15-b875-849a180bcfbd
PROFESIONAL OBSTETRA,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 6,468.00",16/10/2024,29/10/2024,cf08b882-5570-4831-8747-adb62b8cd2d6
LICENCIADO(A) EN ENFERMERÍA,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,2,"S/. 6,468.00",16/10/2024,29/10/2024,5ce1e600-2096-4e52-a264-3acccc691afe
CIRUJANO DENTISTA,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 6,493.00",16/10/2024,29/10/2024,a616daab-d837-4b27-b19e-bdfcca268e1a
PROFESIONAL TECNÓLOGO MÉDICO - ÁREA LABORATORIO / BIÓLOGO,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,2,"S/. 6,468.00",16/10/2024,29/10/2024,57a0bc59-84aa-4df9-9ea1-87ac98e955e2
INSPECTOR/A UD APURÍMAC,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-228,1,"S/. 3,000.00",16/10/2024,29/10/2024,71971c2b-13f4-4853-96e7-728021e56b72
PROFESIONAL PSICOLOGO(A),RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 6,493.00",16/10/2024,29/10/2024,e01a6614-b601-4fc2-b358-64ae8e60ff74
RESPONSABLE DE LA OFICINA DE REMUNERACIONES Y ESCALAFON,MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 4,300.00",15/10/2024,28/10/2024,544e10bf-1123-4033-a16b-44ddfa1062b5
JEFE DE ADQUISICIONES,MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 5,000.00",15/10/2024,28/10/2024,72ee0c62-8d0d-465e-b7bd-3e8e08c4e188
TÉCNICO SIAF,MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 3,500.00",15/10/2024,28/10/2024,f733d0d0-8075-48ba-98ad-27ef1ee3556f
FISCALIZADOR AMBIENTAL,MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 4,000.00",15/10/2024,28/10/2024,d1c2d4f0-dacb-4ae7-ab19-45efd434a825
ESPECIALISTA I (PROCESOS DE SELECCIÓN),MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 5,000.00",15/10/2024,28/10/2024,862d0c2d-c973-43d9-955f-29252bc67c68
ESPECIALISTA,MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 4,000.00",15/10/2024,28/10/2024,0d1bea90-fa03-4455-8794-a267c21204fc
ESPECIALISTA II,MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 4,000.00",15/10/2024,28/10/2024,0b490606-45dd-43af-b58f-847a44e6252a
TÉCNICO II (INDAGACION DE MERCADO),MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 3,500.00",15/10/2024,28/10/2024,e7fb1c38-bc42-4800-bd8e-e2df98650faf
ASESOR LEGAL PARA LA OFICINA DE LOGISTICA,MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 5,000.00",15/10/2024,28/10/2024,1d809072-2190-47e9-8909-8750ec943f2a
ASISTENTE ADMINISTRATIVO,MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 2,000.00",15/10/2024,28/10/2024,962a8c8d-8a37-4d15-be92-abfb736b0eb1
PSICOLOGO,UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE ABANCAY,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,2,"S/. 2,614.19",14/10/2024,25/10/2024,9e1a50ef-e05f-45c1-bf52-80e10f7c4356
PERSONAL VIGILANTE JEC UGEL ABANCAY,UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE ABANCAY,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,1,"S/. 1,264.19",14/10/2024,25/10/2024,5f8a067d-d66a-4bf9-bc5e-2ab9a247b131
OFICINISTA,UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE ABANCAY,APURIMAC - SAN PEDRO DE CACHORA,276-005,1,"S/. 1,100.00",14/10/2024,25/10/2024,9474eae7-cfae-470c-a54e-2de98edf8699
PERSONAL DE MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA LOCAL DE AYMARAES,APURIMAC - TINTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 1,264.19",11/10/2024,24/10/2024,50c1a0f1-0152-439f-aa3e-91ba80fa36c8
ESPECIALISTA EN ABASTECIMIENTO,UNIDAD DE GESTION EDUCATIVA LOCAL DE AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,114.19",11/10/2024,24/10/2024,1cc2bfc2-8881-4690-8ba0-57cee69aca7b
ABOGADO CERTIFICADOR,ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - ANCO_HUALLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-28,1,"S/. 3,000.00",10/10/2024,23/10/2024,c18685b5-40b8-4ca1-82f3-e676551583cf
ABOGADO CERTIFICADOR,ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-27,1,"S/. 3,000.00",10/10/2024,23/10/2024,e237aa00-318b-4453-ac45-cbc50efa3b2e
ANALISTA REGISTRAL,ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-26,1,"S/. 3,000.00",10/10/2024,23/10/2024,7f3063ba-a4a3-40a1-838c-cead9706d2a3
ARQUEOLOGO/A,MINISTERIO DE CULTURA,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (SUPLENCIA)-218,1,"S/. 2,514.19",09/10/2024,22/10/2024,d24c7c46-db6a-4ba8-b202-fd47dbf18bfc
