dep,last_date,path_data,n_jobs,n_jobs_text,time,id_uuid
tumbes,30-09-2024,/data/tumbes/30-09-2024.csv,7,7 puesto(s) encontrado(s) en total.,,4933c9a6-94e9-4eff-8939-f5802855bcb7
huanuco,30-09-2024,/data/huanuco/30-09-2024.csv,121,121 puesto(s) encontrado(s) en total.,,e3a532c8-3e47-46d8-b491-4a66a8e15b46
ucayali,30-09-2024,/data/ucayali/30-09-2024.csv,149,149 puesto(s) encontrado(s) en total.,,01a3c569-2a9b-41df-8c9f-9c71d08f4e75
ica,30-09-2024,/data/ica/30-09-2024.csv,31,31 puesto(s) encontrado(s) en total.,,f11a5995-fdb0-437a-8efb-450d53c383f1
junin,30-09-2024,/data/junin/30-09-2024.csv,204,204 puesto(s) encontrado(s) en total.,,84b0c1e2-e4cb-47d8-b24c-4070b975f52a
lima,30-09-2024,/data/lima/30-09-2024.csv,1337,1337 puesto(s) encontrado(s) en total.,,bec1dbe1-399d-4324-9f4c-a5fbc4f2912f
all,01-10-2024,./data/all/01-10-2024.csv,3196,3196,,aa3d8082-09cf-47a2-850e-12736c7ab25f
all,01-10-2024,./data/all/01-10-2024.csv,3196,3196,172.77143359184265,dd4f146f-2082-4ea6-9ad1-33867abb0755
all,02-10-2024,./data/all/02-10-2024.csv,3215,3215,110.03034520149232,48ab2361-acbf-403f-aaa2-6d17d5237c34
all,03-10-2024,./data/all/03-10-2024.csv,3439,3439,118.85119318962096,45ae82ad-0d63-48ba-8bcf-9f209a949fdc
all,04-10-2024,./data/all/04-10-2024.csv,3448,3448,115.11876010894775,9f9ba850-0f0e-4c79-b6e9-7b7818db603d
all,04-10-2024,./data/all/04-10-2024.csv,3448,3448,113.58094191551208,90080a90-89ad-4aa8-baca-43b5ec413684
all,04-10-2024,./data/all/04-10-2024.csv,3434,3434,183.9986591339112,eb595bd8-75a1-42c6-9afe-341c004b1d6b
all,07-10-2024,./data/all/07-10-2024.csv,3215,3215,105.25899410247804,5650a7cb-71ec-4ca2-ad1a-6a014e3aee3d
all,09-10-2024,./data/all/09-10-2024.csv,3287,3287,128.04125452041626,6feea707-90fb-44a1-a050-6d4e7f4712e0
all,09-10-2024,./data/all/09-10-2024.csv,3170,3170,393.6722586154938,b4720748-32b3-423b-98f9-0e999c058a87
all,09-10-2024,./data/all/09-10-2024.csv,3191,3191,404.43030643463135,92ce4ad3-1580-4d96-b753-a700b3383e47
all,09-10-2024,./data/all/09-10-2024.csv,3191,3191,398.6736640930176,d853a6d5-2be9-4947-8777-a8250dc87324
all,09-10-2024,./data/all/09-10-2024.csv,196,196,52.13931679725647,9e8ff2e3-8888-49ba-94bb-e59cdbe07283
all,09-10-2024,./data/all/09-10-2024.csv,196,196,55.30743718147278,039295c8-3b4b-416d-8dc3-e6afa4475c6a
all,09-10-2024,./data/all/09-10-2024.csv,196,196,53.122334480285645,62ecbffd-b475-4289-af48-c083d413af8d
all,09-10-2024,./data/all/09-10-2024.csv,122,122,43.18836736679077,02d5e9b2-def8-4706-afaa-e454a80d9626
all,09-10-2024,./data/all/09-10-2024.csv,114,114,24.538647890090942,e7f9f043-cef2-46ea-a0bd-becc4c4c041e
all,09-10-2024,./data/all/09-10-2024.csv,124,124,26.43429970741272,2141ee0b-6f68-4622-94cc-06db346b144f
all,09-10-2024,./data/all/09-10-2024.csv,124,124,25.822625160217285,00661e6b-5e18-4f92-be31-acf441587d35
all,09-10-2024,./data/all/09-10-2024.csv,125,125,26.6769597530365,400da6ea-0099-4eb3-86c3-db4a8e0f3ba0
all,09-10-2024,./data/all/09-10-2024.csv,3251,3251,407.4403104782105,6372f80f-df46-467a-b508-823a10808e94
all,10-10-2024,./data/all/10-10-2024.csv,3331,3331,417.94577288627625,0618dde7-247c-4375-a295-ae26f9973f56
all,10-10-2024,./data/all/10-10-2024.csv,3552,3552,435.26386737823486,043d7087-eef7-4b8d-8599-c09a5536a017
all,10-10-2024,./data/all/10-10-2024.csv,3604,3604,421.26032400131226,fe915e11-8585-421c-b3c7-92d979a9e3b4
all,20-10-2024,./data/all/20-10-2024.csv,3350,3350,106.30100131034852,ed043130-75df-4dd9-9b0c-84d679dd447d
all,20-10-2024,./data/all/20-10-2024.csv,3350,3350,96.54636120796204,7ae4a215-72bd-434e-8814-79fa6130540f
all,20-10-2024,./data/all/20-10-2024.csv,3350,3350,108.35021591186523,f53d098e-81ce-4d96-abb4-04815977dfb7
all,26-10-2024,./data/all/26-10-2024.csv,2950,2950,95.89308142662048,828330b7-e72c-4f45-b6fd-078a8208c545
all,01-11-2024,./data/all/01-11-2024.csv,3150,3150,108.80000162124634,9b5d6731-9e6c-4b4f-82b9-43a554bc1057
all,10-11-2024,./data/all/10-11-2024.csv,3119,3119,107.63506889343262,89986c91-8dcc-49d9-9e84-0c651dda140e
all,26-11-2024,./data/all/26-11-2024.csv,3078,3078,113.38349843025208,5ef659d4-e0a4-493c-a009-ab55ac5aba3b
all,09-12-2024,./data/all/09-12-2024.csv,2746,2746,86.03198575973511,2188bb9e-aedf-4e01-8dc9-e5292e8193ef
all,22-12-2024,./data/all/22-12-2024.csv,1603,1603,51.41714692115784,d6411aa2-a623-4043-9751-6a373377e423
all,25-12-2024,./data/all/25-12-2024.csv,1460,1460,52.35014319419861,49e06af6-33b0-4344-b9ac-206c9049e803
all,14-02-2025,./data/all/14-02-2025.csv,6449,6449,241.2882101535797,68698bf5-19bd-4942-9152-50d8823e36e7
